1,1585,398,0,0,0.970726,0.985363,42,25*4*2,64*2*2
2,7943,3188,0,0,0.991086,0.995543,79,25*4*10,64*16*2
3,15849,4782,0,0,0.580838,0.790419,82,25*4*13,64*16*3
4,15849,4782,1,0,0.580838,0.790419,82,25*4*13,64*16*3
5,19953,4782,1,0,0.461369,0.730685,82,25*4*13,64*16*3
6,12589,4782,1,0,0.73125,0.865625,82,25*4*13,64*16*3
7,1585,398,0,0,0.970726,0.985363,42,25*4*2,64*2*2
8,40,0,0,0,0,0,0,1*1*1,1*1*1
9,79,0,0,0,0,0,0,1*1*1,1*1*1
10,20,0,0,0,0,0,0,1*1*1,1*1*1
11,1585,399,1,0,0.970726,0.985363,42,25*4*2,64*2*2
12,316,49,0,0,0.99019,0.995095,9,25*1*1,32*1*1
13,20,0,0,0,0,0,0,1*1*1,1*1*1
14,200,12,0,0,0.9485,0.97425,3,5*1*1,8*1*1
15,126,0,0,0,0,0,0,1*1*1,1*1*1
16,50,0,0,0,0,0,0,1*1*1,1*1*1
17,1000,398,0,0,0.9709,0.98545,33,25*4*1,64*2*2
18,1585,398,0,0,0.970726,0.985363,42,25*4*2,64*2*2
19,1000,398,0,0,0.9709,0.98545,33,25*4*1,64*2*2
20,200,12,0,0,0.9485,0.97425,3,5*1*1,8*1*1
21,16,0,0,0,0,0,0,1*1*1,1*1*1
22,316,49,0,0,0.99019,0.995095,9,25*1*1,32*1*1
23,50,0,0,0,0,0,0,1*1*1,1*1*1
24,200,12,0,0,0.9485,0.97425,3,5*1*1,8*1*1
25,50,0,0,0,0,0,0,1*1*1,1*1*1
26,32,0,0,0,0,0,0,1*1*1,1*1*1
27,63,0,0,0,0,0,0,1*1*1,1*1*1
28,50,0,0,0,0,0,0,1*1*1,1*1*1
29,40,0,0,0,0,0,0,1*1*1,1*1*1
30,40,0,0,0,0,0,0,1*1*1,1*1*1
31,40,0,0,0,0,0,0,1*1*1,1*1*1
32,50,0,0,0,0,0,0,1*1*1,1*1*1
33,50,0,0,0,0,0,0,1*1*1,1*1*1
34,50,0,0,0,0,0,0,1*1*1,1*1*1
35,40,0,0,0,0,0,0,1*1*1,1*1*1
36,63,0,0,0,0,0,0,1*1*1,1*1*1
37,50,0,0,0,0,0,0,1*1*1,1*1*1
38,40,0,0,0,0,0,0,1*1*1,1*1*1
39,50,0,0,0,0,0,0,1*1*1,1*1*1
40,40,0,0,0,0,0,0,1*1*1,1*1*1
41,63,0,0,0,0,0,0,1*1*1,1*1*1
42,50,0,0,0,0,0,0,1*1*1,1*1*1
43,50,0,0,0,0,0,0,1*1*1,1*1*1
44,63,0,0,0,0,0,0,1*1*1,1*1*1
45,79,0,0,0,0,0,0,1*1*1,1*1*1
46,100,0,0,0,0,0,0,1*1*1,1*1*1
47,100,0,0,0,0,0,0,1*1*1,1*1*1
48,79,0,0,0,0,0,0,1*1*1,1*1*1
49,126,0,0,0,0,0,0,1*1*1,1*1*1
50,79,0,0,0,0,0,0,1*1*1,1*1*1
51,79,0,0,0,0,0,0,1*1*1,1*1*1
52,79,0,0,0,0,0,0,1*1*1,1*1*1
53,40,0,0,0,0,0,0,1*1*1,1*1*1
54,40,0,0,0,0,0,0,1*1*1,1*1*1
55,63,0,0,0,0,0,0,1*1*1,1*1*1
56,79,0,0,0,0,0,0,1*1*1,1*1*1
57,158,0,0,0,0,0,0,1*1*1,1*1*1
